SYMBOL	ENSEMBL	ENTREZID	GENENAME
CFTR	ENSG00000001626	1080	cystic fibrosis transmembrane conductance regulator
MUC5B	ENSG00000117983	727897	mucin 5B, oligomeric mucus/gel-forming
PHC3	ENSG00000173889	80012	polyhomeotic homolog 3
ARHGAP42	ENSG00000165895	143872	Rho GTPase activating protein 42
PNPLA5	ENSG00000100341	150379	patatin like phospholipase domain containing 5
NPB	ENSG00000183979	256933	neuropeptide B
TUBGCP5	ENSG00000275835	114791	tubulin gamma complex associated protein 5
TUBGCP5	ENSG00000276856	114791	tubulin gamma complex associated protein 5
TUBGCP5	ENSG00000280807	114791	tubulin gamma complex associated protein 5
UTS2R	ENSG00000181408	2837	urotensin 2 receptor
INSM1	ENSG00000173404	3642	INSM transcriptional repressor 1
C5orf38	ENSG00000186493	153571	chromosome 5 open reading frame 38
MCU	ENSG00000156026	90550	mitochondrial calcium uniporter
NKX2-2	ENSG00000125820	4821	NK2 homeobox 2
Mar-09	NA	NA	NA
KCNK9	ENSG00000169427	51305	potassium two pore domain channel subfamily K member 9
MEX3B	ENSG00000183496	84206	mex-3 RNA binding family member B
FAM222A	ENSG00000139438	84915	family with sequence similarity 222 member A
HVCN1	ENSG00000122986	84329	hydrogen voltage gated channel 1
C1orf198	ENSG00000119280	84886	chromosome 1 open reading frame 198
NPPB	ENSG00000120937	4879	natriuretic peptide B
GPR33	ENSG00000214943	2856	G protein-coupled receptor 33 (gene/pseudogene)
HHATL	ENSG00000010282	57467	hedgehog acyltransferase like
SNAPC2	ENSG00000104976	6618	small nuclear RNA activating complex polypeptide 2
MPRIP	ENSG00000133030	23164	myosin phosphatase Rho interacting protein
ACSM5	ENSG00000183549	54988	acyl-CoA synthetase medium chain family member 5
FRK	ENSG00000111816	2444	fyn related Src family tyrosine kinase
RPL7	ENSG00000147604	6129	ribosomal protein L7
TTC39A	ENSG00000085831	22996	tetratricopeptide repeat domain 39A
SMN1	ENSG00000172062	6606	survival of motor neuron 1, telomeric
SMN1	ENSG00000205571	6606	survival of motor neuron 1, telomeric
SMN1	ENSG00000273772	6606	survival of motor neuron 1, telomeric
SMN1	ENSG00000275349	6606	survival of motor neuron 1, telomeric
SMN1	ENSG00000277773	6606	survival of motor neuron 1, telomeric
RBMS2	ENSG00000076067	5939	RNA binding motif single stranded interacting protein 2
PNRC1	ENSG00000146278	10957	proline rich nuclear receptor coactivator 1
UBE2I	ENSG00000103275	7329	ubiquitin conjugating enzyme E2 I
ANXA8	ENSG00000265190	653145	annexin A8
AVPR2	ENSG00000126895	554	arginine vasopressin receptor 2
TXNIP	ENSG00000265972	10628	thioredoxin interacting protein
C1orf233	NA	NA	NA
GAPDH	ENSG00000111640	2597	glyceraldehyde-3-phosphate dehydrogenase
SLC22A9	ENSG00000149742	114571	solute carrier family 22 member 9
BTBD3	ENSG00000132640	22903	BTB domain containing 3
COL15A1	ENSG00000204291	1306	collagen type XV alpha 1 chain
FAM126A	ENSG00000122591	84668	family with sequence similarity 126 member A
EXO1	ENSG00000174371	9156	exonuclease 1
PPP2CA	ENSG00000113575	5515	protein phosphatase 2 catalytic subunit alpha
DDX41	ENSG00000183258	51428	DEAD-box helicase 41
TBC1D9	ENSG00000109436	23158	TBC1 domain family member 9
PDX1	ENSG00000139515	3651	pancreatic and duodenal homeobox 1
FXYD6-FXYD2	ENSG00000255245	100533181	FXYD6-FXYD2 readthrough
AARSD1	ENSG00000266967	80755	alanyl-tRNA synthetase domain containing 1
SRBD1	ENSG00000068784	55133	S1 RNA binding domain 1
AHR	ENSG00000106546	196	aryl hydrocarbon receptor
MEF2B	ENSG00000213999	100271849	myocyte enhancer factor 2B
FUT6	ENSG00000156413	2528	fucosyltransferase 6
OPN1SW	ENSG00000128617	611	opsin 1, short wave sensitive
PROSER2	ENSG00000148426	254427	proline and serine rich 2
ZC4H2	ENSG00000126970	55906	zinc finger C4H2-type containing
MED29	ENSG00000063322	55588	mediator complex subunit 29
GCA	ENSG00000115271	25801	grancalcin
TSACC	ENSG00000163467	128229	TSSK6 activating cochaperone
MANBA	ENSG00000109323	4126	mannosidase beta
P2RY2	ENSG00000175591	5029	purinergic receptor P2Y2
CCNE1	ENSG00000105173	898	cyclin E1
CDKL2	ENSG00000138769	8999	cyclin dependent kinase like 2
FRRS1L	ENSG00000260230	23732	ferric chelate reductase 1 like
OR10Z1	ENSG00000198967	128368	olfactory receptor family 10 subfamily Z member 1
TMEM206	ENSG00000065600	55248	transmembrane protein 206
TDRD1	ENSG00000095627	56165	tudor domain containing 1
SLC16A12	ENSG00000152779	387700	solute carrier family 16 member 12
GALNTL5	ENSG00000106648	168391	polypeptide N-acetylgalactosaminyltransferase like 5
RNF212	ENSG00000178222	285498	ring finger protein 212
CTSB	ENSG00000164733	1508	cathepsin B
ST6GALNAC1	ENSG00000070526	55808	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1
MS4A3	ENSG00000149516	932	membrane spanning 4-domains A3
OR1S2	ENSG00000197887	219958	olfactory receptor family 1 subfamily S member 2
KIF23	ENSG00000137807	9493	kinesin family member 23
PDHB	ENSG00000168291	5162	pyruvate dehydrogenase E1 beta subunit
CFDP1	ENSG00000153774	10428	craniofacial development protein 1
INPP5A	ENSG00000068383	3632	inositol polyphosphate-5-phosphatase A
TRIM68	ENSG00000167333	55128	tripartite motif containing 68
TMEM151A	ENSG00000179292	256472	transmembrane protein 151A
OR2S2	ENSG00000278889	56656	olfactory receptor family 2 subfamily S member 2 (gene/pseudogene)
GLT8D1	ENSG00000016864	55830	glycosyltransferase 8 domain containing 1
LOC730183	ENSG00000261840	730183	uncharacterized LOC730183
AGTR2	ENSG00000180772	186	angiotensin II receptor type 2
GPR61	ENSG00000156097	83873	G protein-coupled receptor 61
UBE3A	ENSG00000114062	7337	ubiquitin protein ligase E3A
CACNB2	ENSG00000165995	783	calcium voltage-gated channel auxiliary subunit beta 2
TEX29	ENSG00000153495	121793	testis expressed 29
SIX2	ENSG00000170577	10736	SIX homeobox 2
FMO5	ENSG00000131781	2330	flavin containing monooxygenase 5
SLC24A4	ENSG00000140090	123041	solute carrier family 24 member 4
C18orf25	ENSG00000152242	147339	chromosome 18 open reading frame 25
CCDC59	ENSG00000133773	29080	coiled-coil domain containing 59
PCDHA6	ENSG00000081842	56142	protocadherin alpha 6
MED8	ENSG00000159479	112950	mediator complex subunit 8
B4GALNT2	ENSG00000167080	124872	beta-1,4-N-acetyl-galactosaminyltransferase 2
STAT3	ENSG00000168610	6774	signal transducer and activator of transcription 3
ZNF586	ENSG00000083828	54807	zinc finger protein 586
GLCE	ENSG00000138604	26035	glucuronic acid epimerase
CLCN3	ENSG00000109572	1182	chloride voltage-gated channel 3
ZNF623	ENSG00000183309	9831	zinc finger protein 623
ZNF623	ENSG00000276340	9831	zinc finger protein 623
BMP2K	ENSG00000138756	55589	BMP2 inducible kinase
AGPAT2	ENSG00000169692	10555	1-acylglycerol-3-phosphate O-acyltransferase 2
OCEL1	ENSG00000099330	79629	occludin/ELL domain containing 1
COG7	ENSG00000168434	91949	component of oligomeric golgi complex 7
PPID	ENSG00000171497	5481	peptidylprolyl isomerase D
CHST13	ENSG00000180767	166012	carbohydrate sulfotransferase 13
DNPH1	ENSG00000112667	10591	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
TAS2R20	ENSG00000255837	259295	taste 2 receptor member 20
TAS2R20	ENSG00000273092	259295	taste 2 receptor member 20
TAS2R20	ENSG00000282612	259295	taste 2 receptor member 20
MMAB	ENSG00000139428	326625	metabolism of cobalamin associated B
ZPR1	ENSG00000109917	8882	ZPR1 zinc finger
COQ2	ENSG00000173085	27235	coenzyme Q2, polyprenyltransferase
UTF1	ENSG00000171794	8433	undifferentiated embryonic cell transcription factor 1
QPRT	ENSG00000103485	23475	quinolinate phosphoribosyltransferase
LYAR	ENSG00000145220	55646	Ly1 antibody reactive
HSPBP1	ENSG00000133265	23640	HSPA (Hsp70) binding protein 1
ANKRD53	ENSG00000144031	79998	ankyrin repeat domain 53
MS4A15	ENSG00000166961	219995	membrane spanning 4-domains A15
LEMD3	ENSG00000174106	23592	LEM domain containing 3
OR1N2	ENSG00000171501	138882	olfactory receptor family 1 subfamily N member 2
CHRM2	ENSG00000181072	1129	cholinergic receptor muscarinic 2
ERG	ENSG00000157554	2078	ETS transcription factor ERG
PCDHGA5	ENSG00000253485	56110	protocadherin gamma subfamily A, 5
ACHE	ENSG00000087085	43	acetylcholinesterase (Cartwright blood group)
C1orf105	ENSG00000180999	92346	chromosome 1 open reading frame 105
EML3	ENSG00000149499	256364	echinoderm microtubule associated protein like 3
ACSL6	ENSG00000164398	23305	acyl-CoA synthetase long chain family member 6
CAMK1G	ENSG00000008118	57172	calcium/calmodulin dependent protein kinase IG
IKBKE	ENSG00000263528	9641	inhibitor of nuclear factor kappa B kinase subunit epsilon
COL8A1	ENSG00000144810	1295	collagen type VIII alpha 1 chain
MAP1LC3A	ENSG00000101460	84557	microtubule associated protein 1 light chain 3 alpha
FGF4	ENSG00000075388	2249	fibroblast growth factor 4
LTBR	ENSG00000111321	4055	lymphotoxin beta receptor
CSMD2	ENSG00000121904	114784	CUB and Sushi multiple domains 2
ZG16B	ENSG00000162078	124220	zymogen granule protein 16B
ZG16B	ENSG00000283056	124220	zymogen granule protein 16B
GPRC5D	ENSG00000111291	55507	G protein-coupled receptor class C group 5 member D
TNFSF4	ENSG00000117586	7292	TNF superfamily member 4
RSAD1	ENSG00000136444	55316	radical S-adenosyl methionine domain containing 1
PDE6C	ENSG00000095464	5146	phosphodiesterase 6C
SCG3	ENSG00000104112	29106	secretogranin III
DCAF16	ENSG00000163257	54876	DDB1 and CUL4 associated factor 16
PCYT2	ENSG00000185813	5833	phosphate cytidylyltransferase 2, ethanolamine
XPO6	ENSG00000169180	23214	exportin 6
ELFN2	ENSG00000166897	114794	extracellular leucine rich repeat and fibronectin type III domain containing 2
ELFN2	ENSG00000243902	114794	extracellular leucine rich repeat and fibronectin type III domain containing 2
CAMK2D	ENSG00000145349	817	calcium/calmodulin dependent protein kinase II delta
GDAP2	ENSG00000196505	54834	ganglioside induced differentiation associated protein 2
MCEMP1	ENSG00000183019	199675	mast cell expressed membrane protein 1
GNA12	ENSG00000146535	2768	G protein subunit alpha 12
BCAS1	ENSG00000064787	8537	breast carcinoma amplified sequence 1
PRR20B	ENSG00000204918	729233	proline rich 20B
TBC1D26	ENSG00000214946	353149	TBC1 domain family member 26
BCL7C	ENSG00000099385	9274	BCL tumor suppressor 7C
ZNF181	ENSG00000197841	339318	zinc finger protein 181
KIF27	ENSG00000165115	55582	kinesin family member 27
UHRF2	ENSG00000147854	115426	ubiquitin like with PHD and ring finger domains 2
REC8	ENSG00000100918	9985	REC8 meiotic recombination protein
REC8	ENSG00000285007	9985	REC8 meiotic recombination protein
CPSF6	ENSG00000111605	11052	cleavage and polyadenylation specific factor 6
ZBED9	ENSG00000232040	114821	zinc finger BED-type containing 9
ZBED9	ENSG00000248496	114821	zinc finger BED-type containing 9
SIM1	ENSG00000112246	6492	SIM bHLH transcription factor 1
PPP5C	ENSG00000011485	5536	protein phosphatase 5 catalytic subunit
INPP5B	ENSG00000204084	3633	inositol polyphosphate-5-phosphatase B
TLR8	ENSG00000101916	51311	toll like receptor 8
ALMS1	ENSG00000116127	7840	ALMS1, centrosome and basal body associated protein
TMEM63B	ENSG00000137216	55362	transmembrane protein 63B
BCL2L14	ENSG00000121380	79370	BCL2 like 14
BCL2L14	ENSG00000281449	79370	BCL2 like 14
SNRNP25	ENSG00000161981	79622	small nuclear ribonucleoprotein U11/U12 subunit 25
LSM7	ENSG00000130332	51690	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated
XPA	ENSG00000136936	7507	XPA, DNA damage recognition and repair factor
GPR39	ENSG00000183840	2863	G protein-coupled receptor 39
C20orf78	ENSG00000149443	100128496	chromosome 20 open reading frame 78
RPRM	ENSG00000177519	56475	reprimo, TP53 dependent G2 arrest mediator homolog
C4A	ENSG00000244731	720	complement C4A (Rodgers blood group)
C4A	ENSG00000206340	720	complement C4A (Rodgers blood group)
C4A	ENSG00000244207	720	complement C4A (Rodgers blood group)
C4A	ENSG00000227746	720	complement C4A (Rodgers blood group)
MANSC4	ENSG00000205693	100287284	MANSC domain containing 4
DHRS4L1	ENSG00000225766	728635	dehydrogenase/reductase 4 like 1
DHRS4L1	ENSG00000285467	728635	dehydrogenase/reductase 4 like 1
DHRS4L1	ENSG00000284898	728635	dehydrogenase/reductase 4 like 1
DHRS4L1	ENSG00000285036	728635	dehydrogenase/reductase 4 like 1
SPX	ENSG00000134548	80763	spexin hormone
MLC1	ENSG00000100427	23209	megalencephalic leukoencephalopathy with subcortical cysts 1
SPATA5L1	ENSG00000171763	79029	spermatogenesis associated 5 like 1
MTRNR2L7	ENSG00000256892	100288485	MT-RNR2 like 7
ZMAT4	ENSG00000165061	79698	zinc finger matrin-type 4
VRK2	ENSG00000028116	7444	VRK serine/threonine kinase 2
SDC4	ENSG00000124145	6385	syndecan 4
LAMP1	ENSG00000185896	3916	lysosomal associated membrane protein 1
MPPED2	ENSG00000066382	744	metallophosphoesterase domain containing 2
USP31	ENSG00000103404	57478	ubiquitin specific peptidase 31
ANKRD63	ENSG00000230778	100131244	ankyrin repeat domain 63
TIMM23B	ENSG00000204152	100652748	translocase of inner mitochondrial membrane 23 homolog B
SLC9B1	ENSG00000164037	150159	solute carrier family 9 member B1
ROBO4	ENSG00000154133	54538	roundabout guidance receptor 4
ARPIN	ENSG00000242498	348110	actin related protein 2/3 complex inhibitor
ZNF503	ENSG00000165655	84858	zinc finger protein 503
ZNF503	ENSG00000270087	84858	zinc finger protein 503
SULF2	ENSG00000196562	55959	sulfatase 2
GEMIN8	ENSG00000046647	54960	gem nuclear organelle associated protein 8
GAS8	ENSG00000141013	2622	growth arrest specific 8
GRN	ENSG00000030582	2896	granulin precursor
SMIM11	NA	NA	NA
UPK3A	ENSG00000100373	7380	uroplakin 3A
GIMAP6	ENSG00000133561	474344	GTPase, IMAP family member 6
CNGB3	ENSG00000170289	54714	cyclic nucleotide gated channel beta 3
PKIA	ENSG00000171033	5569	cAMP-dependent protein kinase inhibitor alpha
FAM83G	ENSG00000188522	644815	family with sequence similarity 83 member G
CNTD2	ENSG00000105219	79935	cyclin N-terminal domain containing 2
JAKMIP2	ENSG00000176049	9832	janus kinase and microtubule interacting protein 2
FAM72B	ENSG00000188610	653820	family with sequence similarity 72 member B
ST5	ENSG00000166444	6764	suppression of tumorigenicity 5
RSAD2	ENSG00000134321	91543	radical S-adenosyl methionine domain containing 2
MLLT4	NA	NA	NA
DEPDC1	ENSG00000024526	55635	DEP domain containing 1
PAIP2	ENSG00000120727	51247	poly(A) binding protein interacting protein 2
YRDC	ENSG00000196449	79693	yrdC N6-threonylcarbamoyltransferase domain containing
BUB3	ENSG00000154473	9184	BUB3, mitotic checkpoint protein
MLLT1	ENSG00000130382	4298	MLLT1, super elongation complex subunit
C1orf216	ENSG00000142686	127703	chromosome 1 open reading frame 216
SH3BGRL3	ENSG00000142669	83442	SH3 domain binding glutamate rich protein like 3
TTC21B	ENSG00000123607	79809	tetratricopeptide repeat domain 21B
GINS3	ENSG00000181938	64785	GINS complex subunit 3
ADSS	ENSG00000035687	159	adenylosuccinate synthase
GADD45A	ENSG00000116717	1647	growth arrest and DNA damage inducible alpha
ECHDC1	ENSG00000093144	55862	ethylmalonyl-CoA decarboxylase 1
ISG20	ENSG00000172183	3669	interferon stimulated exonuclease gene 20
UBE4B	ENSG00000130939	10277	ubiquitination factor E4B
PSMD10	ENSG00000101843	5716	proteasome 26S subunit, non-ATPase 10
ANKRD37	ENSG00000186352	353322	ankyrin repeat domain 37
NUS1	ENSG00000153989	116150	NUS1, dehydrodolichyl diphosphate synthase subunit
MUC4	ENSG00000145113	4585	mucin 4, cell surface associated
MUC4	ENSG00000275164	4585	mucin 4, cell surface associated
MUC4	ENSG00000277585	4585	mucin 4, cell surface associated
MUC4	ENSG00000278303	4585	mucin 4, cell surface associated
MUC4	ENSG00000273984	4585	mucin 4, cell surface associated
MUC4	ENSG00000273822	4585	mucin 4, cell surface associated
MUC4	ENSG00000276613	4585	mucin 4, cell surface associated
MUC4	ENSG00000278468	4585	mucin 4, cell surface associated
GCKR	ENSG00000084734	2646	glucokinase regulator
TUSC5	NA	NA	NA
ACAD9	ENSG00000177646	28976	acyl-CoA dehydrogenase family member 9
EFTUD2	ENSG00000108883	9343	elongation factor Tu GTP binding domain containing 2
ANGPTL7	ENSG00000171819	10218	angiopoietin like 7
GHSR	ENSG00000121853	2693	growth hormone secretagogue receptor
OCA2	ENSG00000104044	4948	OCA2 melanosomal transmembrane protein
OCA2	ENSG00000277361	4948	OCA2 melanosomal transmembrane protein
MAST1	ENSG00000105613	22983	microtubule associated serine/threonine kinase 1
CSRP2	ENSG00000175183	1466	cysteine and glycine rich protein 2
DAPK2	ENSG00000035664	23604	death associated protein kinase 2
IZUMO1R	ENSG00000183560	390243	IZUMO1 receptor, JUNO
SYT9	ENSG00000170743	143425	synaptotagmin 9
OR8U1	ENSG00000172199	219417	olfactory receptor family 8 subfamily U member 1
CNTN4	ENSG00000144619	152330	contactin 4
NUP153	ENSG00000124789	9972	nucleoporin 153
PLD5	ENSG00000180287	200150	phospholipase D family member 5
ODF2L	ENSG00000122417	57489	outer dense fiber of sperm tails 2 like
PPP3R2	ENSG00000188386	5535	protein phosphatase 3 regulatory subunit B, beta
RAB40AL	ENSG00000102128	282808	RAB40A like
ZNF146	ENSG00000167635	7705	zinc finger protein 146
AARS	ENSG00000090861	16	alanyl-tRNA synthetase
HP	ENSG00000257017	3240	haptoglobin
GTF2A2	ENSG00000140307	2958	general transcription factor IIA subunit 2
FXN	ENSG00000165060	2395	frataxin
ZNF559	ENSG00000188321	84527	zinc finger protein 559
HIST1H2AM	ENSG00000278677	8336	histone cluster 1 H2A family member m
AP1AR	ENSG00000138660	55435	adaptor related protein complex 1 associated regulatory protein
LIMK1	ENSG00000106683	3984	LIM domain kinase 1
DNAJC3	ENSG00000102580	5611	DnaJ heat shock protein family (Hsp40) member C3
ZNF100	ENSG00000197020	163227	zinc finger protein 100
ZNF100	ENSG00000274746	163227	zinc finger protein 100
C5orf66	ENSG00000224186	100996485	chromosome 5 open reading frame 66
COCH	ENSG00000100473	1690	cochlin
DOK4	ENSG00000125170	55715	docking protein 4
SCN9A	ENSG00000169432	6335	sodium voltage-gated channel alpha subunit 9
NSL1	ENSG00000117697	25936	NSL1, MIS12 kinetochore complex component
SFRP4	ENSG00000106483	6424	secreted frizzled related protein 4
PCDHGA3	ENSG00000254245	56112	protocadherin gamma subfamily A, 3
NANOG	ENSG00000111704	79923	Nanog homeobox
PKD2L1	ENSG00000107593	9033	polycystin 2 like 1, transient receptor potential cation channel
JADE1	ENSG00000077684	79960	jade family PHD finger 1
CCL27	ENSG00000213927	10850	C-C motif chemokine ligand 27
TUBA1B	ENSG00000123416	10376	tubulin alpha 1b
MSI2	ENSG00000153944	124540	musashi RNA binding protein 2
TLX3	ENSG00000164438	30012	T cell leukemia homeobox 3
FUT3	ENSG00000171124	2525	fucosyltransferase 3 (Lewis blood group)
SLC2A8	ENSG00000136856	29988	solute carrier family 2 member 8
CENPE	ENSG00000138778	1062	centromere protein E
OR8H3	ENSG00000181761	390152	olfactory receptor family 8 subfamily H member 3
SYTL2	ENSG00000137501	54843	synaptotagmin like 2
PHKA2	ENSG00000044446	5256	phosphorylase kinase regulatory subunit alpha 2
FMN1	ENSG00000248905	342184	formin 1
FMN1	ENSG00000282513	342184	formin 1
CHRM5	ENSG00000184984	1133	cholinergic receptor muscarinic 5
SPATA25	ENSG00000149634	128497	spermatogenesis associated 25
CPA3	ENSG00000163751	1359	carboxypeptidase A3
TRMT61A	ENSG00000166166	115708	tRNA methyltransferase 61A
DCLRE1A	ENSG00000198924	9937	DNA cross-link repair 1A
ZNF625	ENSG00000257591	90589	zinc finger protein 625
SLC26A3	ENSG00000091138	1811	solute carrier family 26 member 3
CTF1	ENSG00000150281	1489	cardiotrophin 1
CHMP4C	ENSG00000164695	92421	charged multivesicular body protein 4C
MRI1	ENSG00000037757	84245	methylthioribose-1-phosphate isomerase 1
DEFB133	ENSG00000214643	403339	defensin beta 133
ALG3	ENSG00000214160	10195	ALG3, alpha-1,3- mannosyltransferase
LOC388282	ENSG00000187185	388282	uncharacterized LOC388282
RFPL4AL1	ENSG00000229292	729974	ret finger protein like 4A like 1
HYPM	ENSG00000187516	25763	huntingtin interacting protein M
XAGE2	ENSG00000155622	9502	X antigen family member 2
CNDP1	ENSG00000150656	84735	carnosine dipeptidase 1
EPPIN-WFDC6	ENSG00000249139	100526773	EPPIN-WFDC6 readthrough
ANKRD60	ENSG00000124227	140731	ankyrin repeat domain 60
CTNND1	ENSG00000198561	1500	catenin delta 1
MTMR10	ENSG00000166912	54893	myotubularin related protein 10
MTMR10	ENSG00000277086	54893	myotubularin related protein 10
ARSH	ENSG00000205667	347527	arylsulfatase family member H
EFCAB1	ENSG00000034239	79645	EF-hand calcium binding domain 1
ZNF45	ENSG00000124459	7596	zinc finger protein 45
ALG10	ENSG00000139133	84920	ALG10, alpha-1,2-glucosyltransferase
KCNE5	ENSG00000176076	23630	potassium voltage-gated channel subfamily E regulatory subunit 5
TUBB	ENSG00000196230	203068	tubulin beta class I
TUBB	ENSG00000227739	203068	tubulin beta class I
TUBB	ENSG00000224156	203068	tubulin beta class I
TUBB	ENSG00000183311	203068	tubulin beta class I
TUBB	ENSG00000232575	203068	tubulin beta class I
TUBB	ENSG00000235067	203068	tubulin beta class I
TUBB	ENSG00000232421	203068	tubulin beta class I
TUBB	ENSG00000229684	203068	tubulin beta class I
FAM13B	ENSG00000031003	51306	family with sequence similarity 13 member B
NCK2	ENSG00000071051	8440	NCK adaptor protein 2
SPCS1	ENSG00000114902	28972	signal peptidase complex subunit 1
CDY1	ENSG00000172288	9085	chromodomain Y-linked 1
OR2A42	ENSG00000212807	402317	olfactory receptor family 2 subfamily A member 42
OR2A42	ENSG00000284836	402317	olfactory receptor family 2 subfamily A member 42
BEND5	ENSG00000162373	79656	BEN domain containing 5
PIK3IP1	ENSG00000100100	113791	phosphoinositide-3-kinase interacting protein 1
RAD51C	ENSG00000108384	5889	RAD51 paralog C
SPTB	ENSG00000070182	6710	spectrin beta, erythrocytic
MAPK1	ENSG00000100030	5594	mitogen-activated protein kinase 1
OR1B1	ENSG00000280094	347169	olfactory receptor family 1 subfamily B member 1 (gene/pseudogene)
KIRREL	NA	NA	NA
PPHLN1	ENSG00000134283	51535	periphilin 1
SPAG4	ENSG00000061656	6676	sperm associated antigen 4
TTC7A	ENSG00000068724	57217	tetratricopeptide repeat domain 7A
FAM212B	NA	NA	NA
RBM46	ENSG00000151962	166863	RNA binding motif protein 46
MCM2	ENSG00000073111	4171	minichromosome maintenance complex component 2
PSMB4	ENSG00000159377	5692	proteasome subunit beta 4
CCDC33	ENSG00000140481	80125	coiled-coil domain containing 33
TMEM185B	ENSG00000226479	79134	transmembrane protein 185B
TTLL2	ENSG00000120440	83887	tubulin tyrosine ligase like 2
SYT6	ENSG00000134207	148281	synaptotagmin 6
DDRGK1	ENSG00000198171	65992	DDRGK domain containing 1
LGALS1	ENSG00000100097	3956	galectin 1
ATP5A1	NA	NA	NA
TBPL1	ENSG00000028839	9519	TATA-box binding protein like 1
MIR205HG	ENSG00000230937	642587	MIR205 host gene
NT5C1B	ENSG00000185013	93034	5'-nucleotidase, cytosolic IB
BMP3	ENSG00000152785	651	bone morphogenetic protein 3
GPN2	ENSG00000142751	54707	GPN-loop GTPase 2
PPP1R21	ENSG00000162869	129285	protein phosphatase 1 regulatory subunit 21
TMEM25	ENSG00000149582	84866	transmembrane protein 25
ELP5	ENSG00000170291	23587	elongator acetyltransferase complex subunit 5
TMEM199	ENSG00000244045	147007	transmembrane protein 199
SLC45A2	ENSG00000164175	51151	solute carrier family 45 member 2
SLC45A2	ENSG00000281919	51151	solute carrier family 45 member 2
OR2M3	ENSG00000228198	127062	olfactory receptor family 2 subfamily M member 3
PHF13	ENSG00000116273	148479	PHD finger protein 13
BTRC	ENSG00000166167	8945	beta-transducin repeat containing E3 ubiquitin protein ligase
SCPEP1	ENSG00000121064	59342	serine carboxypeptidase 1
RNF19B	ENSG00000116514	127544	ring finger protein 19B
CAP2	ENSG00000112186	10486	cyclase associated actin cytoskeleton regulatory protein 2
PTRH1	ENSG00000187024	138428	peptidyl-tRNA hydrolase 1 homolog
PRMT3	ENSG00000185238	10196	protein arginine methyltransferase 3
ZIM2	ENSG00000269699	23619	zinc finger imprinted 2
TK2	ENSG00000166548	7084	thymidine kinase 2, mitochondrial
EXOC2	ENSG00000112685	55770	exocyst complex component 2
PRELID1	ENSG00000169230	27166	PRELI domain containing 1
MAGOHB	ENSG00000111196	55110	mago homolog B, exon junction complex subunit
CLTA	ENSG00000122705	1211	clathrin light chain A
ILK	ENSG00000166333	3611	integrin linked kinase
SEMA4B	ENSG00000185033	10509	semaphorin 4B
SMPD1	ENSG00000166311	6609	sphingomyelin phosphodiesterase 1
OVOL2	ENSG00000125850	58495	ovo like zinc finger 2
ABHD2	ENSG00000140526	11057	abhydrolase domain containing 2
CXCL3	ENSG00000163734	2921	C-X-C motif chemokine ligand 3
ZNF563	ENSG00000188868	147837	zinc finger protein 563
SGSM3	ENSG00000100359	27352	small G protein signaling modulator 3
JAM2	ENSG00000154721	58494	junctional adhesion molecule 2
HIST1H4B	ENSG00000278705	8366	histone cluster 1 H4 family member b
MTMR8	ENSG00000102043	55613	myotubularin related protein 8
RFK	ENSG00000135002	55312	riboflavin kinase
PCDHA11	ENSG00000249158	56138	protocadherin alpha 11
IL31RA	ENSG00000164509	133396	interleukin 31 receptor A
MAP2K6	ENSG00000108984	5608	mitogen-activated protein kinase kinase 6
CDKN2C	ENSG00000123080	1031	cyclin dependent kinase inhibitor 2C
IFNA5	ENSG00000147873	3442	interferon alpha 5
LOX	ENSG00000113083	4015	lysyl oxidase
RUSC1-AS1	ENSG00000225855	284618	RUSC1 antisense RNA 1
TOX	ENSG00000198846	9760	thymocyte selection associated high mobility group box
C15orf27	NA	NA	NA
ARR3	ENSG00000120500	407	arrestin 3
KRTAP13-4	ENSG00000186971	284827	keratin associated protein 13-4
OR8B8	ENSG00000197125	26493	olfactory receptor family 8 subfamily B member 8
BANF2	ENSG00000125888	140836	barrier to autointegration factor 2
ITGA4	ENSG00000115232	3676	integrin subunit alpha 4
ACP6	ENSG00000162836	51205	acid phosphatase 6, lysophosphatidic
NME2	ENSG00000243678	4831	NME/NM23 nucleoside diphosphate kinase 2
FOXJ1	ENSG00000129654	2302	forkhead box J1
SLC38A10	ENSG00000157637	124565	solute carrier family 38 member 10
C1orf167	ENSG00000215910	284498	chromosome 1 open reading frame 167
OR4F15	ENSG00000182854	390649	olfactory receptor family 4 subfamily F member 15
CXorf51A	ENSG00000224440	100129239	chromosome X open reading frame 51A
ZNF124	ENSG00000196418	7678	zinc finger protein 124
TAF9B	ENSG00000187325	51616	TATA-box binding protein associated factor 9b
UGT1A6	ENSG00000167165	54578	UDP glucuronosyltransferase family 1 member A6
SH3D19	ENSG00000109686	152503	SH3 domain containing 19
ATG5	ENSG00000057663	9474	autophagy related 5
PTRF	NA	NA	NA
COQ7	ENSG00000167186	10229	coenzyme Q7, hydroxylase
POLD1	ENSG00000062822	5424	DNA polymerase delta 1, catalytic subunit
NHLH2	ENSG00000177551	4808	nescient helix-loop-helix 2
MS4A10	ENSG00000172689	341116	membrane spanning 4-domains A10
FLNA	ENSG00000196924	2316	filamin A
CSPP1	ENSG00000104218	79848	centrosome and spindle pole associated protein 1
